index,predictions
3515,"['|', ['&', ['|', ['&', 'MUHL 184', 'MUHL 185'], ['&', 'MUTH 211', 'MUCO 240D1/D2'], ['&', 'MUSP 231']], ['&', ['|', ['&', 'MUHL 186', 'MUHL 286'], ['&', 'MUTH 250', 'MUCO 240D1/D2'], ['&', 'MUSP 241']] ]"
74,"['&', 'HISP 218', ['|', 'MATH 203', ['|', 'AEMA 310', 'equivalent']]]"
2458," ['&', 'ENVR 201', ['|', 'GEOG 203', ['|', 'ENVR 200', ['|', 'ESYS 200', 'equivalent']]]]"
126,"['&', ['|', 'ANTH 201', 'ANTH 202'], ['|', 'HISP 225', 'permission of instructor']]"
1203,"['&', 'COMP 251']"
914,"['Prerequisite', 'CHEE 400']"
2457,"['&', 'GEOG 202', ['|', ['&', 'equivalent', 'permission of instructor']]]"
4339,"['|', ['&', 'EPIB 601'], ['&', 'Permission of Instructor']]"
320,"['|', ['&', 'BIEN 590'], ['&', 'permission of the instructor']]"
186,"['|', ['&', 'ARCH 201'], ['|', 'instructor_approval']]"
236,"['&', 'ARCH 722']"
1916,"['&', 'EDKP 223']"
648,"['&', 'CCFA 527']"
110,"['&', 'LSCI 202', 'LSCI 230']"
3283,"['|', ['&', 'MECH 610'], ['&', 'permission of instructor']]"
4640,"['&', 'SOCI 652', 'Permission of Instructor']"
4014,"['&', 'NUTR 656']"
2851,"['&', 'INFS 680']"
3276,"['&', ['|', ['&', 'MECH 240', 'MECH 309'], ['&', 'MECH 331', 'MECH 341'], ['&', 'MECH 346', 'permission of the instructor']]]"
242,"['&', 'ARTH 606', 'ARTH 607']"
2184,"['Prerequisite', ['&', ['ENVR 301'], ['|', 'permission from the instructor']]]"
4237,"['&', 'PHYS 692D1']"
1483,"['&', 'Prerequisite', ['|', ['&', 'Chinese EAST 230'], ['|', 'equivalent'], ['|', 'permission of the instructor']]]"
394,"['&',['|', ['&', 'BIOL 219'], ['|', ['&', 'BIOL 200', 'BIOL 201'], ['|', 'ANAT 212', 'BIOL 201'], ['|', 'BIOL 200', 'BIOL 212']], ['&', 'CHEM 212']], ['&', ['|', ['&', 'COMP 202'], ['|', 'COMP 204'], ['|', 'COMP 250']], ['|', 'MATH 222']], ['|', ['&', 'permission of instructor']]]]"
151,"['|', ['&', 'ANTH 338'], ['&', 'ANTH 336'], ['&', 'permission of instructor']]"
469,"['&', 'CHEM 211', 'CHEM 212', 'MATH 222', 'PHYS 230']"
3080,"['&', 'LSCI 401', ['|', 'permission of the instructor']]"
141,"['&', 'ANTH 357', ['|', 'ANTH 359', 'permission of instructor']]"
1791,"['&', 'EDEC 245']"
139,"['Prerequisite', ['&', ['ANTH', '201'], ['ANTH', '210']]]"
63,"['&', 'AEMA 310', ['|', 'AGEC 200', 'AGEC 201']]"
3473,"['&', 'MGCR 352']"
143,"['&', 'ANTH 352', 'ANTH 355', '|', 'permission of the instructor']"
1902,"['Prerequisite', ['&', ['EDIN', '601'], ['EDIN', '601D1'], ['EDIN', '601D2'], ['EDTL', '604'], ['EDEM', '690']]]"
686,"['&', 'CCPA 601', 'CCPA 602', 'CCPA 631'] ['&', ['|', 'CCPA 621', 'CCPA 622'], ['|', 'CCPA 623', 'CCPA 624']]"
138,"['&', 'ANTH 201', 'ANTH 203', 'ANTH 210']"
2517,"['&', 'GEOG 699N1']"
3345,"['|', ['&', 'MIME 209'], ['&', 'MECH 262'], ['&', 'CIVE 302'], ['&', 'CHEE 231'], ['&', 'ECSE 205']]"
2346,"['&', 'FDSC 211', 'FDSC 230', ['|', 'LSCI 211', 'permission of instructor']]"
82,"['&', 'PHGY 210']"
358,"['Corequisite', ['|', 'MATH 222', ['&', 'equivalent']]]"
468,"['&', ['|', ['&', 'CHEE 380', 'equivalent'], ['&', 'CHEM 212', 'equivalent'], ['&', 'BIOL 201', 'equivalent']], ['|', 'permission of the instructor']]"
2028,"['&', 'EDPE 721D1']"
1284,"['&', 'COMS 210', 'COMS 200', 'COMS 230']"
1148,"['Corequisite', 'CMRK 200']"
3946,"['|', ['&', 'NUR2 620'], ['&', 'equivalent']]"
4532,"['|', ['&', 'RELG 357'], ['&', 'permission of instructor']]"
3575,"['|', ['&', 'MUHL 286'], []]"
153,"['&', ['|', ['&', 'ANTH 204', 'ANTH 314'], ['&', 'ANTH 352', 'ANTH 355'], ['&', 'ANTH 204', 'ANTH 355'], ['&', 'ANTH 314', 'ANTH 355']], ['&', 'permission of instructor']]"
1697,"['Prerequisite', ['&', 'ECSE 496']]"
4326,"['|', ['&', 'POTH 663'], ['&', 'permission of instructor']]"
3077,"['Prerequisite', 'LLCU 602']"
3337,"['&', 'LSCI 230']"
945,"['&', 'CHEE 314', ['|', 'equivalent']]"
1256,"['&', 'COMP 451', ['|', 'MATH 222', 'MATH 223'], ['|', 'MATH 223', 'MATH 323']]"
3591,"['&', 'MUIN 180']"
98,"['&', 'ANAT 695', 'ANAT 696']"
1452,"['&', 'DENT 581', 'J2']"
262,"['|', ['&', 'MATH 314', 'MATH 315'], ['&', 'permission of instructor']]"
1901,"['OR', ['OR', ['AND', 'EDTL 626', 'EDTL 628'], ['AND', 'EDTL 630', 'EDTL 612']], ['OR', 'EDTL 634', 'EDTL 636']]"
1521,"['|', ['&', 'EAST 440'], ['&', 'permission of instructor']]"
2920,"['&', 'ISLA 210', ['|', 'permission of instructor']]"
3300,"['&', 'MGCR 650']"
4083,"['Prerequisite', '(&', 'PHAR 301')]"
2137,"['&', 'EDFM 460']"
3973,"['&', 'NUTR 431N1']"
3246,"['&', 'MECH 393', ['|', '45 credits']]"
159,"['&', 'ANTH 209', ['|', 'ANTH 352', 'ANTH 355']]"
707,"['&', 'CCTR 325']"
1367,"['&', 'DENT 206D1']"
39,"['Corequisite', ['&', 'AEBI 421', 'AEBI 423', 'AEBI 425']]"
401,"['Corequisite', ['&', 'NRSC', 'BIOL 451'], ['&', 'ANTH', 'GEOG 451']]"
1012,"['&', 'CHEM 381']"
10,"['&', 'ACCT 354']"
4086,"['Corequisite', ['PHAR', '563']]"
4647,"[&, 'SURG 401']"
4608,"['&', 'SOCI 210']"
4111,"['&', 'PHGY 459D1']"
3583,"['&', ['&', ['&', 'MUHL 184', 'MUHL 185'], ['|', 'MUTH 211', 'MUCO 240D1/D2']], ['|', ['&', 'MUHL 286', 'MUTH 250'], ['&', 'MUHL 286', 'MUSP 241']]]"
1752,"['&', 'ECSE 485']"
3355,"['&', ['|', ['&', 'CHEM 233'], ['&', 'MIME 212'], ['|', ['&', 'MIME 200', 'MIME 250'], ['&', 'MIME 356']]]"
1981,"['Prerequisite', 'EDPC 609']"
1039,"['&', 'CHLC 351']"
2581,"['&', 'any', ['&', ['successful', 'completion', 'Survey', 'Literature'], ['HISP', 241], ['HISP', 242], ['HISP', 243], ['HISP', 244]]], ['|', 'permission', ['of', 'instructor']]]"
254,"['&', 'ATOC 214', 'MATH 222']"
3794,"['&', 'NRSC 701', 'D1']"
471,"['&', 'MATH 203', 'MATH 223', 'MATH 323', ['|', 'COMP', 'or', 'permission of instructor']]"
75,"['&', 'BIOL 200']"
1784,"['&', 'EDEA 442']"
441,"['&', ['|', 'BIOL 202', 'BIOL 302'], ['|', 'BIOL 300'], ['|', 'BIOL 370'], ['|', 'permission']]"
2839,"['&', 'INFS 617']"
3660,"['&', 'MUMT 202']"
1402,"['&', 'DENT 106J1']"
3527,"['&', ['|', ['&', 'MUTH 110', 'MUSP 129'], ['&', 'MUTH 111', 'MUSP 131'], ['&', 'MUHL 184', 'MUHL 185']], ['|', ['&', 'MUTH 151', 'MUSP 140'], ['&', 'MUTH 151', 'MUHL 186'], ['&', 'MUSP 141', 'MUHL 286']] ]"
3260,"['|', ['&', 'MECH 309', 'MATH 317'], ['&', 'MECH 533']]"
935,"['&', 'CHEE 310', 'CHEE 380']['|', ['&', 'CHEM 233', 'MIME 261', 'MIME 317']], ['&', 'CHEE 310', 'CHEE 380']]"
1889,"['&', 'EDKP 442']"
158,"['Prerequisite', '&', ['ANTH 201', 'ANTH 357']]"
152,"['&', 'ANTH 227', ['|', ['&', 'Honours/Major/Minor status in Anthropology'], ['&', 'Minor Concentration in Social Studies of Medicine'], 'permission of instructor']]"
4022,"['&', 'NUTR 682', 'D1']"
93,"['&', ['|', ['&', 'ANAT 212', 'BIOC 212'], ['&', 'ANAT 212', 'BIOL 201']], ['|', ['&', 'ANAT 261', 'ANAT 262'], 'permission of instructor']]"
3513,"['|', 'MUCO 341']"
1484,"['|', ['&', 'EAST 230', 'equivalent'], ['&', 'permission of the instructor']]"
3402,"['Prerequisite', ['&', ['MIME 465'], ['permission']]]"
3858,"['Corequisite', 'NUR1', '318']"
1373,"['DENT', '220D1']"
1680,"['&', 'ECSE 458', 'D1']"
2773,"['&', 'INDR 294']"
2016,"['&', 'EDPE 683', ['Minimum Grade/Test score(s) needed', 'B-']]"
4583,"['&', 'SCSD 611D1']"
472," ['&', 'MATH 203', 'MATH 223', 'MATH 323'] ['|', ['&', 'one course in computer programming'], ['&', 'additional background in Calculus and Probability', ['&', 'MATH 222', 'MATH 204']]] ['|', 'permission of the instructor']"
1638,"['Prerequisite', '(&', ['ECSE', '324'])]"
2,"['&', 'ACCT 351', 'MGCR 341']"
2575,"['&', ['|', ['&', 'HISP 241', 'HISP 242'], ['&', 'HISP 243', 'HISP 244']], 'or', 'permission of the instructor']"
661,"['&', 'CCFA 627', '|', 'CCFA 655']"
410,"['OR', ['&', 'BIOL 215', ['|', 'ENVR 200', 'ENVR 202']]]"
51,"['|', ['&', 'AEMA 102', 'or'], ['|', ['&', 'MATH 141', 'or'], ['or', 'CEGEP objective 00UP'], ['or', 'permission of instructor']]]"
50,"['&', ['|', ['&', 'AEPH 112', 'AEPH 113'], ['&', 'PHYS 101', 'PHYS 131'], ['&', 'CEGEP objective 00UR'], ['&', 'equivalents'], 'permission of instructor']]"
3193,"['&', 'MATH 456', 'MATH 576', 'or', 'permission of instructor']"
3604,"['|', ['&', 'MUIN 251']]"
243,"['&', 'ARTH 606', 'ARTH 607', ['|', 'ARTH 608', 'prerequisite']]"
3732,"['&', 'MUSR 300D1']"
1004,"['&', 'CHEM 302', ['|', 'BIOL 200', 'CHEM 332']]"
478,"['&', 'AEMA 305']"
965,"['&', 'CHEM 212', ['|', 'equivalent']]"
3853,"['Prerequisite', '(&', 'NUR1 332')]"
4620,"['&', 'SOCI 210']"
123,"['&', 'ANTH 202', ['|', 'ANTH 205', 'ANTH 206', 'ANTH 212']]"
2392,"['&', ['|', 'INSY 660', 'INSY 662'], ['|', 'MGSC 660', 'MGSC 661']]"
2321,"['&', 'FAES 405', ['|', 'permission of instructor']]"
4512,"['|', ['&', 'RELG 265'], ['&', 'permission of the instructor']]"
37,"['Corequisite', ['&', ['AEBI 421'], ['AEBI 425'], ['AEBI 427']]]"
258,"['&', 'EPSC 373', ['|', 'GEOG 373', ['|', 'ATOC 473', 'EPSC 473', 'GEOG 473']]]"
850,"['&', 'CENT 300']"
1923,"['&', 'EDKP 261']"
